train_number,journey_date,scheduled_travel_hours,distance_km,zone_congestion_index,monsoon_flag,fog_risk,coach_count,loco_age_years,actual_delay_minutes,delayed_gt_15min
20507,2025-01-01 00:00:00.000000000,9.28819683559296,579.5357777071729,1.5052887345358352,0,0,15,6.632200272881106,2.443064004647667,0
11050,2025-01-01 00:52:25.274527452,26.172325774188362,1457.5246863954796,0.8932234521049824,0,0,19,16.84994945794952,0.0,0
15908,2025-01-01 01:44:50.549054905,42.17704510081199,2235.477353210814,0.5682676162391812,0,0,21,6.707854314998311,61.13325223428248,1
15738,2025-01-01 02:37:15.823582358,40.177437158282096,2712.431504421375,1.5093127941072717,0,0,22,6.358586526149437,96.91569539185534,1
20587,2025-01-01 03:29:41.098109810,36.29324359221316,2906.902075585463,0.9451488814432059,1,0,22,7.041087656519501,51.91042394230399,1
19485,2025-01-01 04:22:06.372637263,18.956124647923605,321.18123211093734,1.0383271075311207,0,0,22,23.224193049122764,0.0,0
20290,2025-01-01 05:14:31.647164716,10.74769195852074,994.9189782557618,0.5072357791285029,0,0,15,22.128769217074403,15.815555549715206,1
12441,2025-01-01 06:06:56.921692169,16.257245437462565,1143.2176075395698,0.7929222127291569,0,0,15,23.04745532560996,92.7982101398492,1
12603,2025-01-01 06:59:22.196219621,17.188207502968666,1213.0813167038725,1.7740996023880167,0,0,17,2.4745614529167295,11.79581114230356,0
13504,2025-01-01 07:51:47.470747074,8.402228558293448,1197.0458191831049,1.5476121020666211,0,0,20,1.345871002743733,0.0,0
20648,2025-01-01 08:44:12.745274527,35.47532555278136,981.1318658616157,0.9837285880049732,0,0,18,1.0768296751533741,18.854652460076846,1
20648,2025-01-01 09:36:38.019801980,22.133171644438242,633.803389996375,0.7505055481276922,1,0,19,6.618021042115364,30.358755270049315,1
11233,2025-01-01 10:29:03.294329432,25.528441746374924,2689.268696000452,1.1402943685449485,0,1,20,24.110523554573874,106.97021463926407,1
13661,2025-01-01 11:21:28.568856885,23.109995910817688,2855.892639225105,0.9797175324795353,0,0,15,24.13470965826387,5.704200713587225,0
20991,2025-01-01 12:13:53.843384338,23.178616018184805,2151.2284549662527,0.520552870258947,0,0,19,16.73752597028056,75.14699336250658,1
17753,2025-01-01 13:06:19.117911791,9.235883759869795,1247.8735953714931,1.4504540996499462,1,0,21,2.479385437410091,22.977828638053488,1
